INFO 2025-08-29 03:49:21,321 autoreload 596 11532 Watching for file changes with StatReloader
INFO 2025-08-29 16:38:29,967 basehttp 15084 14896 "OPTIONS /api/invoices/ HTTP/1.1" 200 0
INFO 2025-08-29 16:38:29,971 basehttp 15084 14896 "OPTIONS /api/dashboard/client-stats/ HTTP/1.1" 200 0
INFO 2025-08-29 16:38:29,983 basehttp 15084 14896 "OPTIONS /api/performance/ HTTP/1.1" 200 0
INFO 2025-08-29 16:38:29,989 basehttp 15084 14896 "OPTIONS /api/content/ HTTP/1.1" 200 0
INFO 2025-08-29 16:38:29,992 basehttp 15084 14896 "OPTIONS /api/invoices/ HTTP/1.1" 200 0
INFO 2025-08-29 16:38:30,152 basehttp 15084 14896 "OPTIONS /api/auth/me/ HTTP/1.1" 200 0
INFO 2025-08-29 16:38:30,154 basehttp 15084 14896 "OPTIONS /api/auth/me/ HTTP/1.1" 200 0
INFO 2025-08-29 16:38:30,159 basehttp 15084 14896 "GET /api/auth/me/ HTTP/1.1" 200 185
INFO 2025-08-29 16:38:30,166 basehttp 15084 14896 "GET /api/auth/me/ HTTP/1.1" 200 185
INFO 2025-08-29 16:38:30,193 basehttp 15084 14896 "GET /api/dashboard/client-stats/ HTTP/1.1" 200 163
INFO 2025-08-29 16:38:30,202 basehttp 15084 14896 "GET /api/performance/ HTTP/1.1" 200 52
INFO 2025-08-29 16:38:30,212 basehttp 15084 14896 "GET /api/content/ HTTP/1.1" 200 52
INFO 2025-08-29 16:38:30,220 basehttp 15084 14896 "GET /api/invoices/ HTTP/1.1" 200 52
INFO 2025-08-29 16:38:30,231 basehttp 15084 14896 "GET /api/dashboard/client-stats/ HTTP/1.1" 200 163
INFO 2025-08-29 16:38:30,238 basehttp 15084 14896 "GET /api/performance/ HTTP/1.1" 200 52
INFO 2025-08-29 16:38:30,246 basehttp 15084 14896 "GET /api/content/ HTTP/1.1" 200 52
INFO 2025-08-29 16:38:30,254 basehttp 15084 14896 "GET /api/invoices/ HTTP/1.1" 200 52
INFO 2025-08-29 16:38:30,275 basehttp 15084 13640 "GET /api/content/ HTTP/1.1" 200 52
INFO 2025-08-29 16:38:30,277 basehttp 15084 14048 "GET /api/invoices/ HTTP/1.1" 200 52
INFO 2025-08-29 16:38:30,282 basehttp 15084 10348 "GET /api/performance/ HTTP/1.1" 200 52
INFO 2025-08-29 16:38:30,303 basehttp 15084 14896 "GET /api/dashboard/client-stats/ HTTP/1.1" 200 163
INFO 2025-08-29 16:43:57,549 basehttp 15084 2868 "GET /api/auth/me/ HTTP/1.1" 200 185
INFO 2025-08-29 16:43:57,555 basehttp 15084 2868 "GET /api/auth/me/ HTTP/1.1" 200 185
INFO 2025-08-29 16:43:58,085 basehttp 15084 13956 "GET /api/content/ HTTP/1.1" 200 52
INFO 2025-08-29 16:43:58,085 basehttp 15084 12800 "GET /api/performance/ HTTP/1.1" 200 52
INFO 2025-08-29 16:43:58,098 basehttp 15084 13956 "GET /api/invoices/ HTTP/1.1" 200 52
INFO 2025-08-29 16:43:58,099 basehttp 15084 12800 "GET /api/content/ HTTP/1.1" 200 52
INFO 2025-08-29 16:43:58,099 basehttp 15084 2868 "GET /api/dashboard/client-stats/ HTTP/1.1" 200 163
INFO 2025-08-29 16:43:58,110 basehttp 15084 13956 "GET /api/performance/ HTTP/1.1" 200 52
INFO 2025-08-29 16:43:58,114 basehttp 15084 2868 "GET /api/dashboard/client-stats/ HTTP/1.1" 200 163
INFO 2025-08-29 16:43:58,125 basehttp 15084 12800 "GET /api/invoices/ HTTP/1.1" 200 52
INFO 2025-08-29 16:44:00,454 basehttp 15084 12800 "OPTIONS /api/auth/logout/ HTTP/1.1" 200 0
INFO 2025-08-29 16:44:00,471 basehttp 15084 12800 "POST /api/auth/logout/ HTTP/1.1" 200 37
INFO 2025-08-29 16:44:16,533 basehttp 15084 12800 "POST /api/auth/register/ HTTP/1.1" 201 239
INFO 2025-08-29 16:44:16,567 basehttp 15084 12800 "OPTIONS /api/dashboard/stats/ HTTP/1.1" 200 0
INFO 2025-08-29 16:44:16,574 basehttp 15084 13956 "OPTIONS /api/tasks/ HTTP/1.1" 200 0
INFO 2025-08-29 16:44:16,574 basehttp 15084 2868 "OPTIONS /api/clients/ HTTP/1.1" 200 0
INFO 2025-08-29 16:44:16,574 basehttp 15084 14064 "OPTIONS /api/dashboard/stats/ HTTP/1.1" 200 0
INFO 2025-08-29 16:44:16,574 basehttp 15084 14628 "OPTIONS /api/clients/ HTTP/1.1" 200 0
INFO 2025-08-29 16:44:16,575 basehttp 15084 4224 "OPTIONS /api/tasks/ HTTP/1.1" 200 0
INFO 2025-08-29 16:44:16,686 basehttp 15084 4224 "GET /api/auth/me/ HTTP/1.1" 200 179
INFO 2025-08-29 16:44:16,694 basehttp 15084 14628 "GET /api/auth/me/ HTTP/1.1" 200 179
INFO 2025-08-29 16:44:16,729 basehttp 15084 2868 "GET /api/content/ HTTP/1.1" 200 52
INFO 2025-08-29 16:44:16,730 basehttp 15084 14064 "GET /api/tasks/ HTTP/1.1" 200 52
INFO 2025-08-29 16:44:16,739 basehttp 15084 13956 "GET /api/content/ HTTP/1.1" 200 52
INFO 2025-08-29 16:44:16,742 basehttp 15084 14628 "GET /api/dashboard/stats/ HTTP/1.1" 200 141
INFO 2025-08-29 16:44:16,748 basehttp 15084 2868 "GET /api/tasks/ HTTP/1.1" 200 52
INFO 2025-08-29 16:44:16,755 basehttp 15084 14628 "GET /api/tasks/ HTTP/1.1" 200 52
INFO 2025-08-29 16:44:16,757 basehttp 15084 4224 "GET /api/clients/ HTTP/1.1" 200 899
INFO 2025-08-29 16:44:16,764 basehttp 15084 14628 "GET /api/clients/ HTTP/1.1" 200 899
INFO 2025-08-29 16:44:16,768 basehttp 15084 14064 "GET /api/content/ HTTP/1.1" 200 52
INFO 2025-08-29 16:44:16,778 basehttp 15084 4224 "GET /api/clients/ HTTP/1.1" 200 899
INFO 2025-08-29 16:44:16,778 basehttp 15084 13956 "GET /api/dashboard/stats/ HTTP/1.1" 200 141
INFO 2025-08-29 16:44:16,788 basehttp 15084 14064 "GET /api/dashboard/stats/ HTTP/1.1" 200 141
INFO 2025-08-29 16:54:00,576 basehttp 15084 2396 "GET /api/tasks/ HTTP/1.1" 200 52
INFO 2025-08-29 16:54:00,585 basehttp 15084 716 "GET /api/clients/ HTTP/1.1" 200 899
INFO 2025-08-29 16:54:00,588 basehttp 15084 1220 "GET /api/content/ HTTP/1.1" 200 52
INFO 2025-08-29 16:54:00,590 basehttp 15084 4692 "GET /api/invoices/ HTTP/1.1" 200 52
INFO 2025-08-29 16:54:00,594 basehttp 15084 13744 "GET /api/dashboard/stats/ HTTP/1.1" 200 141
INFO 2025-08-29 16:54:22,285 basehttp 15084 4692 "GET /api/clients/ HTTP/1.1" 200 899
INFO 2025-08-29 16:54:22,286 basehttp 15084 1220 "GET /api/tasks/ HTTP/1.1" 200 52
INFO 2025-08-29 16:54:22,290 basehttp 15084 716 "GET /api/content/ HTTP/1.1" 200 52
WARNING 2025-08-29 16:54:22,294 log 15084 13104 Forbidden: /api/dashboard/client-stats/
WARNING 2025-08-29 16:54:22,298 basehttp 15084 13104 "GET /api/dashboard/client-stats/ HTTP/1.1" 403 34
INFO 2025-08-29 16:54:22,303 basehttp 15084 4692 "GET /api/performance/ HTTP/1.1" 200 52
INFO 2025-08-29 16:54:22,313 basehttp 15084 716 "GET /api/tasks/ HTTP/1.1" 200 52
WARNING 2025-08-29 16:54:22,318 log 15084 4692 Forbidden: /api/dashboard/client-stats/
INFO 2025-08-29 16:54:22,318 basehttp 15084 13104 "GET /api/content/ HTTP/1.1" 200 52
INFO 2025-08-29 16:54:22,318 basehttp 15084 2396 "GET /api/invoices/ HTTP/1.1" 200 52
WARNING 2025-08-29 16:54:22,320 basehttp 15084 4692 "GET /api/dashboard/client-stats/ HTTP/1.1" 403 34
INFO 2025-08-29 16:54:22,330 basehttp 15084 1220 "GET /api/clients/ HTTP/1.1" 200 899
INFO 2025-08-29 16:54:22,337 basehttp 15084 13744 "GET /api/dashboard/stats/ HTTP/1.1" 200 141
INFO 2025-08-29 16:54:22,342 basehttp 15084 716 "GET /api/performance/ HTTP/1.1" 200 52
INFO 2025-08-29 16:54:22,345 basehttp 15084 2396 "GET /api/invoices/ HTTP/1.1" 200 52
INFO 2025-08-29 16:54:22,356 basehttp 15084 13104 "GET /api/content/ HTTP/1.1" 200 52
INFO 2025-08-29 16:54:22,364 basehttp 15084 716 "GET /api/invoices/ HTTP/1.1" 200 52
INFO 2025-08-29 16:54:22,371 basehttp 15084 2396 "GET /api/content/ HTTP/1.1" 200 52
INFO 2025-08-29 16:54:22,372 basehttp 15084 1220 "GET /api/dashboard/stats/ HTTP/1.1" 200 141
INFO 2025-08-29 16:54:22,376 basehttp 15084 13104 "GET /api/invoices/ HTTP/1.1" 200 52
INFO 2025-08-29 16:56:29,254 basehttp 15084 13104 "OPTIONS /api/social-accounts/ HTTP/1.1" 200 0
INFO 2025-08-29 16:56:29,255 basehttp 15084 2396 "OPTIONS /api/messages/ HTTP/1.1" 200 0
WARNING 2025-08-29 16:56:29,264 log 15084 1220 Forbidden: /api/dashboard/client-stats/
INFO 2025-08-29 16:56:29,269 basehttp 15084 4692 "GET /api/invoices/ HTTP/1.1" 200 52
INFO 2025-08-29 16:56:29,270 basehttp 15084 13744 "GET /api/content/ HTTP/1.1" 200 52
WARNING 2025-08-29 16:56:29,271 log 15084 2396 Forbidden: /api/social-accounts/
WARNING 2025-08-29 16:56:29,272 basehttp 15084 1220 "GET /api/dashboard/client-stats/ HTTP/1.1" 403 34
WARNING 2025-08-29 16:56:29,276 basehttp 15084 2396 "GET /api/social-accounts/ HTTP/1.1" 403 49
INFO 2025-08-29 16:56:29,281 basehttp 15084 716 "GET /api/performance/ HTTP/1.1" 200 52
INFO 2025-08-29 16:56:29,282 basehttp 15084 13104 "GET /api/messages/ HTTP/1.1" 200 52
INFO 2025-08-29 17:07:45,540 autoreload 15084 14428 C:\Users\User\Documents\GitHub\followers_tt\server\api\views\views.py changed, reloading.
INFO 2025-08-29 17:07:46,617 autoreload 13856 12204 Watching for file changes with StatReloader
INFO 2025-08-29 17:08:03,174 autoreload 13856 12204 C:\Users\User\Documents\GitHub\followers_tt\server\api\views\views.py changed, reloading.
INFO 2025-08-29 17:08:04,078 autoreload 6760 4132 Watching for file changes with StatReloader
INFO 2025-08-29 17:08:17,361 autoreload 6760 4132 C:\Users\User\Documents\GitHub\followers_tt\server\api\views\views.py changed, reloading.
INFO 2025-08-29 17:08:18,257 autoreload 10332 1652 Watching for file changes with StatReloader
INFO 2025-08-29 17:08:31,420 autoreload 10332 1652 C:\Users\User\Documents\GitHub\followers_tt\server\api\views\views.py changed, reloading.
INFO 2025-08-29 17:08:32,301 autoreload 14628 15044 Watching for file changes with StatReloader
INFO 2025-08-29 17:08:59,703 autoreload 14628 15044 C:\Users\User\Documents\GitHub\followers_tt\server\api\views\views.py changed, reloading.
INFO 2025-08-29 17:09:00,590 autoreload 10280 13336 Watching for file changes with StatReloader
INFO 2025-08-29 17:09:11,692 autoreload 10280 13336 C:\Users\User\Documents\GitHub\followers_tt\server\api\views\views.py changed, reloading.
INFO 2025-08-29 17:09:12,837 autoreload 6728 8888 Watching for file changes with StatReloader
INFO 2025-08-29 17:09:33,847 autoreload 6728 8888 C:\Users\User\Documents\GitHub\followers_tt\server\api\views\views.py changed, reloading.
INFO 2025-08-29 17:09:34,810 autoreload 11272 11480 Watching for file changes with StatReloader
INFO 2025-08-29 17:09:55,808 autoreload 11272 11480 C:\Users\User\Documents\GitHub\followers_tt\server\api\views\views.py changed, reloading.
INFO 2025-08-29 17:09:56,807 autoreload 8848 15092 Watching for file changes with StatReloader
INFO 2025-08-29 17:10:04,534 autoreload 8848 15092 C:\Users\User\Documents\GitHub\followers_tt\server\api\views\views.py changed, reloading.
INFO 2025-08-29 17:10:05,425 autoreload 5656 11124 Watching for file changes with StatReloader
INFO 2025-08-29 17:10:20,758 autoreload 5656 11124 C:\Users\User\Documents\GitHub\followers_tt\server\api\views\views.py changed, reloading.
INFO 2025-08-29 17:10:21,679 autoreload 10680 4132 Watching for file changes with StatReloader
INFO 2025-08-29 17:12:38,578 autoreload 9168 15084 Watching for file changes with StatReloader
INFO 2025-08-29 17:13:18,876 autoreload 9168 15084 C:\Users\User\Documents\GitHub\followers_tt\server\api\views\views.py changed, reloading.
INFO 2025-08-29 17:13:19,793 autoreload 1740 6216 Watching for file changes with StatReloader
INFO 2025-08-29 17:13:30,791 autoreload 1740 6216 C:\Users\User\Documents\GitHub\followers_tt\server\api\views\views.py changed, reloading.
INFO 2025-08-29 17:13:31,754 autoreload 6360 6416 Watching for file changes with StatReloader
INFO 2025-09-07 01:55:02,666 autoreload 12160 15300 Watching for file changes with StatReloader
INFO 2025-09-07 02:05:00,088 autoreload 16740 15760 Watching for file changes with StatReloader
INFO 2025-09-07 02:05:33,724 basehttp 16740 11016 "OPTIONS /api/auth/me/ HTTP/1.1" 200 0
INFO 2025-09-07 02:05:33,724 basehttp 16740 15072 "OPTIONS /api/auth/me/ HTTP/1.1" 200 0
ERROR 2025-09-07 02:05:33,883 log 16740 15072 Internal Server Error: /api/auth/me/
Traceback (most recent call last):
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\db\backends\utils.py", line 89, in _execute
    return self.cursor.execute(sql, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\db\backends\sqlite3\base.py", line 328, in execute
    return super().execute(query, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
sqlite3.OperationalError: no such table: api_user

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\views\decorators\csrf.py", line 56, in wrapper_view
    return view_func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\views\generic\base.py", line 104, in view
    return self.dispatch(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\rest_framework\views.py", line 509, in dispatch
    response = self.handle_exception(exc)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\rest_framework\views.py", line 469, in handle_exception
    self.raise_uncaught_exception(exc)
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\rest_framework\views.py", line 480, in raise_uncaught_exception
    raise exc
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\rest_framework\views.py", line 497, in dispatch
    self.initial(request, *args, **kwargs)
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\rest_framework\views.py", line 414, in initial
    self.perform_authentication(request)
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\rest_framework\views.py", line 324, in perform_authentication
    request.user
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\rest_framework\request.py", line 227, in user
    self._authenticate()
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\rest_framework\request.py", line 380, in _authenticate
    user_auth_tuple = authenticator.authenticate(self)
                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\rest_framework\authentication.py", line 196, in authenticate
    return self.authenticate_credentials(token)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\rest_framework\authentication.py", line 201, in authenticate_credentials
    token = model.objects.select_related('user').get(key=key)
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\db\models\query.py", line 633, in get
    num = len(clone)
          ^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\db\models\query.py", line 380, in __len__
    self._fetch_all()
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\db\models\query.py", line 1881, in _fetch_all
    self._result_cache = list(self._iterable_class(self))
                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\db\models\query.py", line 91, in __iter__
    results = compiler.execute_sql(
              ^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\db\models\sql\compiler.py", line 1562, in execute_sql
    cursor.execute(sql, params)
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\db\backends\utils.py", line 102, in execute
    return super().execute(sql, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\db\backends\utils.py", line 67, in execute
    return self._execute_with_wrappers(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\db\backends\utils.py", line 80, in _execute_with_wrappers
    return executor(sql, params, many, context)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\db\backends\utils.py", line 84, in _execute
    with self.db.wrap_database_errors:
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\db\utils.py", line 91, in __exit__
    raise dj_exc_value.with_traceback(traceback) from exc_value
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\db\backends\utils.py", line 89, in _execute
    return self.cursor.execute(sql, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\db\backends\sqlite3\base.py", line 328, in execute
    return super().execute(query, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
django.db.utils.OperationalError: no such table: api_user
ERROR 2025-09-07 02:05:33,902 basehttp 16740 15072 "GET /api/auth/me/ HTTP/1.1" 500 204176
ERROR 2025-09-07 02:05:34,045 log 16740 11016 Internal Server Error: /api/auth/me/
Traceback (most recent call last):
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\db\backends\utils.py", line 89, in _execute
    return self.cursor.execute(sql, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\db\backends\sqlite3\base.py", line 328, in execute
    return super().execute(query, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
sqlite3.OperationalError: no such table: api_user

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\views\decorators\csrf.py", line 56, in wrapper_view
    return view_func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\views\generic\base.py", line 104, in view
    return self.dispatch(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\rest_framework\views.py", line 509, in dispatch
    response = self.handle_exception(exc)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\rest_framework\views.py", line 469, in handle_exception
    self.raise_uncaught_exception(exc)
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\rest_framework\views.py", line 480, in raise_uncaught_exception
    raise exc
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\rest_framework\views.py", line 497, in dispatch
    self.initial(request, *args, **kwargs)
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\rest_framework\views.py", line 414, in initial
    self.perform_authentication(request)
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\rest_framework\views.py", line 324, in perform_authentication
    request.user
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\rest_framework\request.py", line 227, in user
    self._authenticate()
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\rest_framework\request.py", line 380, in _authenticate
    user_auth_tuple = authenticator.authenticate(self)
                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\rest_framework\authentication.py", line 196, in authenticate
    return self.authenticate_credentials(token)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\rest_framework\authentication.py", line 201, in authenticate_credentials
    token = model.objects.select_related('user').get(key=key)
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\db\models\query.py", line 633, in get
    num = len(clone)
          ^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\db\models\query.py", line 380, in __len__
    self._fetch_all()
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\db\models\query.py", line 1881, in _fetch_all
    self._result_cache = list(self._iterable_class(self))
                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\db\models\query.py", line 91, in __iter__
    results = compiler.execute_sql(
              ^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\db\models\sql\compiler.py", line 1562, in execute_sql
    cursor.execute(sql, params)
  File "C:\Users\User\Documents\GitHub\followers_tt\server\venv\Lib\site-packages\django\db\backends\utils.py", line 102, in execute
    return super().execute(sql, params)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
